,Rank,Team,Change,Prior,Date,Division
7,8,Pittsburgh,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
8,9,Western Washington,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
9,10,Colorado,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
10,11,Texas,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
11,12,Stanford,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
12,13,Vermont,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
13,14,Chicago,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
14,15,Georgia,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
15,16,UCLA,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
16,17,Tufts,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
17,18,Washington University,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
18,19,Appalachian State,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
19,20,Utah,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
20,21,Duke,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
21,22,Florida State,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
22,23,Ohio,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
23,24,Oregon,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
24,25,Colorado College,,,2022-02-16,"
College D-I Women’s Rankings, 2/16/22
Published on February 16, 2022
"
0,1,Carleton,-,1,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
1,2,North Carolina,-,2,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
2,3,Washington,-,3,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
3,4,UC Santa Barbara,-,4,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
4,5,UC San Diego,-,5,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
5,6,Western Washington,-,6,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
6,7,Pittsburgh,-,7,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
7,8,Colorado,-,8,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
8,9,UC Davis,-,9,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
9,10,Texas,-,10,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
10,11,Stanford,-,11,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
11,12,Georgia,+2,14,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
12,13,Vermont,-1,12,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
13,14,UCLA,-1,13,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
14,15,Tufts,-,15,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
15,16,Washington University,-,16,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
16,17,Virginia,-,17,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
17,18,Chicago,-,18,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
18,19,Appalachian State,-,19,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
19,20,Utah,-,20,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
20,21,Duke,-,21,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
21,22,Michigan,-,22,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
22,23,Ohio,+1,24,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
23,24,Oregon,+1,25,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
24,25,Colorado College,,-,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
0,1,Carleton,-,1,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
1,2,North Carolina,-,2,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
2,3,Washington,-,3,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
3,4,UC Santa Barbara,-,4,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
4,5,UC San Diego,-,5,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
5,6,Western Washington,+1,7,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
6,7,Pittsburgh,+2,9,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
7,8,Colorado,+2,10,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
8,9,UC Davis,+6,15,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
9,10,Texas,+1,11,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
10,11,Stanford,-3,8,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
11,12,Vermont,+2,14,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
12,13,UCLA,-7,6,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
13,14,Georgia,-2,12,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
14,15,Tufts,-2,13,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
15,16,Washington University,,-,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
16,17,Virginia,-1,16,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
17,18,Chicago,-1,17,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
18,19,Appalachian State,-1,18,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
19,20,Utah,-1,19,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
20,21,Duke,-1,20,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
21,22,Michigan,-,22,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
22,23,Georgia Tech,-,23,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
23,24,Ohio,-3,21,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
24,25,Oregon,-1,24,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
0,1,Carleton,-,1,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
1,2,North Carolina,-,2,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
2,3,Washington,-,3,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
3,4,UC Santa Barbara,-,4,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
4,5,UC San Diego,-,5,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
5,6,UCLA,-,6,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
6,7,Western Washington,-,7,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
7,8,Stanford,-,8,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
8,9,Pittsburgh,-,9,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
9,10,Colorado,-,10,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
10,11,Texas,-,11,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
11,12,Georgia,-,12,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
12,13,Tufts,-,13,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
13,14,Vermont,+1,15,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
14,15,UC Davis,+1,16,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
15,16,Virginia,+8,24,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
16,17,Chicago,-3,14,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
17,18,Appalachian State,-1,17,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
18,19,Utah,+2,21,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
19,20,Duke,-,20,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
20,21,Ohio,+2,23,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
21,22,Michigan,,-,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
22,23,Georgia Tech,+2,25,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
23,24,Oregon,-6,18,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
24,25,Colorado College,,-,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
0,1,Carleton,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
1,2,North Carolina,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
2,3,Washington,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
3,4,UC Santa Barbara,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
4,5,UC San Diego,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
5,6,UCLA,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
6,7,Western Washington,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
7,8,Stanford,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
8,9,Pittsburgh,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
9,10,Colorado,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
10,11,Texas,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
11,12,Georgia,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
12,13,Tufts,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
13,14,Chicago,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
14,15,Vermont,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
15,16,UC Davis,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
16,17,Appalachian State,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
17,18,Oregon,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
18,19,UNC Wilmington,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
19,20,Duke,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
20,21,Utah,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
21,22,NC State,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
22,23,Ohio,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
23,24,Virginia,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
24,25,Georgia Tech,,,2021-12-01,"
College D-I Women’s Rankings, 12/1/21
Published on December 1, 2021
"
0,1,Carleton,-,1,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
1,2,North Carolina,-,2,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
2,3,Tufts,-,3,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
3,4,Stanford,+2,6,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
4,5,UC San Diego,-,5,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
5,6,Washington,+4,10,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
6,7,UCLA,+1,8,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
7,8,UC Santa Barbara,-4,4,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
8,9,Western Washington,-2,7,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
9,10,Northeastern,+1,11,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
10,11,Georgia Tech,+1,12,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
11,12,Pittsburgh,+1,13,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
12,13,Ohio State,+1,14,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
13,14,Dartmouth,+1,15,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
14,15,Virginia,+1,16,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
15,16,Colorado,+4,20,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
16,17,British Columbia,-8,9,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
17,18,Vermont,-1,17,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
18,19,Wisconsin,-1,18,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
19,20,Texas,+1,21,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
20,21,Minnesota,,-,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
21,22,California,-3,19,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
22,23,Florida,-1,22,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
23,24,UC Davis,-1,23,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
24,25,South Carolina,-1,24,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
0,1,Carleton,-,1,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
1,2,North Carolina,-,2,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
2,3,Tufts,-,3,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
3,4,UC Santa Barbara,-,4,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
4,5,UC San Diego,-,5,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
5,6,Stanford,-,6,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
6,7,Western Washington,-,7,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
7,8,UCLA,-,8,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
8,9,British Columbia,-,9,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
9,10,Washington,-,10,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
10,11,Northeastern,-,11,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
11,12,Georgia Tech,-,12,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
12,13,Pittsburgh,-,13,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
13,14,Ohio State,-,14,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
14,15,Dartmouth,-,15,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
15,16,Virginia,-,16,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
16,17,Vermont,-,17,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
17,18,Wisconsin,-,18,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
18,19,California,-,19,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
19,20,Colorado,-,20,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
20,21,Texas,-,21,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
21,22,Florida,-,22,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
22,23,UC Davis,-,23,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
23,24,South Carolina,-,24,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
24,25,Michigan,-,25,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
0,1,Carleton,-,1,2020-03-18,"
College D-I Women’s Rankings, 3/11/20
Published on March 18, 2020
"
