,TEAM,Completions,Hucks,Offensive Holds,Defensive Breaks,Red Zone Possessions,Blocks,Turnovers,GAME_INFO
0,Minnesota Wind Chill,95% (278/291),57% (4/7),66% (16/24),59% (13/22),81% (22/27),13,16,2021-06-26-DET-MIN
0,Austin Sol,93% (293/313),60% (6/10),56% (18/32),42% (6/14),87% (14/16),9,22,2021-06-25-AUS-SEA
0,Seattle Cascades,94% (237/251),66% (12/18),55% (19/34),75% (9/12),84% (16/19),11,18,2021-06-25-AUS-SEA
0,Minnesota Wind Chill,95% (325/339),83% (5/6),53% (15/28),42% (3/7),75% (15/20),7,16,2021-06-12-MIN-CHI
0,Chicago Union,96% (210/218),100% (6/6),71% (15/21),72% (8/11),100% (14/14),5,9,2021-06-12-MIN-CHI
0,DC Breeze,97% (291/298),78% (11/14),70% (19/27),60% (6/10),86% (13/15),7,11,2021-06-12-DC-RAL
0,Raleigh Flyers,95% (239/250),44% (4/9),65% (19/29),71% (5/7),95% (20/21),6,12,2021-06-12-DC-RAL
0,Atlanta Hustle,94% (187/198),92% (12/13),60% (14/23),46% (7/15),63% (7/11),11,16,2021-06-11-ATL-BOS
0,Boston Glory,94% (275/292),60% (6/10),44% (13/29),66% (6/9),80% (12/15),9,19,2021-06-11-ATL-BOS
0,San Diego Growlers,95% (257/269),44% (4/9),66% (14/21),33% (5/15),100% (11/11),13,16,2021-06-05-SD-LA
0,LA Aviators,92% (221/240),66% (4/6),46% (14/30),40% (2/5),75% (9/12),7,19,2021-06-05-SD-LA
0,San Jose Spiders,94% (265/279),66% (6/9),50% (16/32),62% (5/8),70% (12/17),6,19,2021-06-05-SJ-SEA
0,Seattle Cascades,95% (269/283),53% (7/13),64% (16/25),50% (8/16),94% (16/17),5,17,2021-06-05-SJ-SEA
0,Raleigh Flyers,96% (379/394),50% (2/4),50% (13/26),50% (5/10),77% (14/18),6,18,2021-06-05-RAL-ATL
0,Atlanta Hustle,95% (236/247),80% (8/10),57% (15/26),33% (4/12),73% (11/15),13,16,2021-06-05-RAL-ATL
0,Indianapolis AlleyCats,93% (269/287),37% (3/8),40% (10/25),28% (2/7),63% (7/11),5,20,2021-06-05-IND-CHI
0,Chicago Union,97% (243/249),50% (4/8),55% (10/18),76% (10/13),90% (19/21),9,11,2021-06-05-IND-CHI
0,Boston Glory,94% (246/259),72% (8/11),62% (18/29),73% (11/15),83% (15/18),15,15,2021-06-05-BOS-PIT
