,score,line,time_left,point_time,players,quarter
5,18-12,D-Line,05:11,54s,"Butrica, Dietrich, DiGiorgio, Esser, Lamberty, Nardelli, Pastor",q3
6,19-12,O-Line,04:43,28s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q3
7,19-13,D-Line,03:19,1m24s,"Butrica, Little, Michel, Nardelli, Owens, Pollard, Witmer",q3
8,20-13,O-Line,02:23,56s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q3
9,20-14,D-Line,01:16,1m7s,"Dietrich, DiGiorgio, Esser, Lamberty, Pastor, Seibert, Witmer",q3
10,21-14,O-Line,00:25,51s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q3
11,22-14,D-Line,00:00,25s,"Butrica, Heyman, Little, Mott, Owens, Pollard, Sands",q3
0,23-14,D-Line,10:54,1m6s,"DiGiorgio, Esser, Lamberty, Michel, Nardelli, Pastor, Witmer",q4
1,23-15,D-Line,10:26,28s,"Dietrich, Little, Owens, Pollard, Sands, Seibert, Witmer",q4
2,24-15,O-Line,09:45,41s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q4
3,24-16,D-Line,09:26,19s,"Dietrich, DiGiorgio, Esser, Lamberty, Michel, Pastor, Seibert",q4
4,25-16,O-Line,08:59,27s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q4
5,26-16,D-Line,05:01,3m58s,"Butrica, Little, Michel, Nardelli, Owens, Pollard, Witmer",q4
6,26-17,D-Line,01:52,3m9s,"DiGiorgio, Esser, Lamberty, Little, Michel, Pastor, Seibert",q4
7,26-18,O-Line,00:35,1m17s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q4
8,27-18,O-Line,00:07,28s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q4
9,27-18,D-Line,00:00,7s,"Arcata, DiGiorgio, Esser, Lamberty, Martin, Pollard, Witmer",q4
0,1-0,O-Line,11:40,20s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q1
1,2-0,D-Line,10:38,1m2s,"Butrica, Little, Michel, Nardelli, Owens, Pollard, Witmer",q1
2,2-1,D-Line,08:14,2m24s,"Dietrich, DiGiorgio, Esser, Lamberty, Mott, Pastor, Seibert",q1
3,3-1,O-Line,07:05,1m9s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q1
4,3-2,D-Line,05:32,1m33s,"Butrica, Little, Michel, Nardelli, Owens, Pollard, Witmer",q1
5,4-2,O-Line,03:47,1m45s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q1
6,4-3,D-Line,02:24,1m23s,"Dietrich, DiGiorgio, Esser, Lamberty, Nardelli, Owens, Pastor",q1
7,5-3,O-Line,01:59,25s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q1
8,5-4,D-Line,01:12,47s,"Butrica, Little, Michel, Nardelli, Owens, Pollard, Witmer",q1
9,5-4,O-Line,00:00,1m12s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q1
0,6-4,D-Line,11:15,45s,"Butrica, Esser, Michel, Nardelli, Owens, Pollard, Witmer",q2
1,6-5,D-Line,10:33,42s,"Dietrich, DiGiorgio, Esser, Little, Owens, Pastor, Witmer",q2
2,7-5,O-Line,09:42,51s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q2
3,8-5,D-Line,08:54,48s,"Dietrich, Esser, Lamberty, Michel, Nardelli, Pollard, Witmer",q2
4,8-6,D-Line,08:06,48s,"Butrica, DiGiorgio, Lamberty, Little, Owens, Pastor, Seibert",q2
5,9-6,O-Line,07:27,39s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q2
6,10-6,D-Line,05:53,1m34s,"Butrica, Little, Michel, Nardelli, Owens, Pollard, Witmer",q2
7,10-7,D-Line,05:33,20s,"Dietrich, DiGiorgio, Esser, Lamberty, Pastor, Seibert, Witmer",q2
8,11-7,O-Line,05:06,27s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q2
9,12-7,D-Line,03:38,1m28s,"Butrica, Little, Michel, Nardelli, Owens, Pollard, Witmer",q2
10,13-7,D-Line,03:13,25s,"Dietrich, DiGiorgio, Esser, Lamberty, Pastor, Seibert, Witmer",q2
11,13-8,D-Line,01:59,1m14s,"Dietrich, DiGiorgio, Esser, Lamberty, Pastor, Seibert, Witmer",q2
12,14-8,O-Line,01:43,16s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q2
13,14-9,D-Line,00:34,1m9s,"Butrica, Dietrich, Little, Michel, Nardelli, Owens, Pollard",q2
14,15-9,O-Line,00:09,25s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q2
15,15-9,D-Line,00:00,9s,"Little, Martin, Mott, Nardelli, Owens, Pollard, Sands",q2
0,16-9,O-Line,09:05,2m55s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q3
1,16-10,D-Line,08:22,43s,"Butrica, DiGiorgio, Michel, Nardelli, Pastor, Pollard, Witmer",q3
2,17-10,O-Line,07:35,47s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q3
3,17-11,D-Line,06:55,40s,"Dietrich, Esser, Lamberty, Little, Owens, Pastor, Seibert",q3
4,18-11,O-Line,06:05,50s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q3
5,18-12,D-Line,05:11,54s,"Butrica, Dietrich, DiGiorgio, Esser, Lamberty, Nardelli, Pastor",q3
6,19-12,O-Line,04:43,28s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q3
7,19-13,D-Line,03:19,1m24s,"Butrica, Little, Michel, Nardelli, Owens, Pollard, Witmer",q3
8,20-13,O-Line,02:23,56s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q3
9,20-14,D-Line,01:16,1m7s,"Dietrich, DiGiorgio, Esser, Lamberty, Pastor, Seibert, Witmer",q3
10,21-14,O-Line,00:25,51s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q3
11,22-14,D-Line,00:00,25s,"Butrica, Heyman, Little, Mott, Owens, Pollard, Sands",q3
0,23-14,D-Line,10:54,1m6s,"DiGiorgio, Esser, Lamberty, Michel, Nardelli, Pastor, Witmer",q4
1,23-15,D-Line,10:26,28s,"Dietrich, Little, Owens, Pollard, Sands, Seibert, Witmer",q4
2,24-15,O-Line,09:45,41s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q4
3,24-16,D-Line,09:26,19s,"Dietrich, DiGiorgio, Esser, Lamberty, Michel, Pastor, Seibert",q4
4,25-16,O-Line,08:59,27s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q4
5,26-16,D-Line,05:01,3m58s,"Butrica, Little, Michel, Nardelli, Owens, Pollard, Witmer",q4
6,26-17,D-Line,01:52,3m9s,"DiGiorgio, Esser, Lamberty, Little, Michel, Pastor, Seibert",q4
7,26-18,O-Line,00:35,1m17s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q4
8,27-18,O-Line,00:07,28s,"Arcata, Charles, Damiano, Heyman, Martin, Mott, Sands",q4
9,27-18,D-Line,00:00,7s,"Arcata, DiGiorgio, Esser, Lamberty, Martin, Pollard, Witmer",q4
0,1-0,D-Line,11:28,32s,"Arbutine, Bode, Cohen, Hodge, Lootens, Patel, Poulos",q1
1,1-1,D-Line,10:52,36s,"Diehl , Lootens, O'Bryan, Patel, Plunkett, Travaglini, Weng",q1
2,1-2,O-Line,09:41,1m11s,"Chard, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q1
3,1-3,O-Line,08:00,1m41s,"Chard, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q1
4,1-4,O-Line,07:10,50s,"Chard, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q1
5,1-5,O-Line,05:55,1m15s,"Bode, Chard, Ley, O'Bryan, Roney, Seuntjens, Vinson",q1
6,1-6,O-Line,02:39,3m16s,"Bode, Chard, Ley, O'Bryan, Poulos, Roney, Seuntjens",q1
7,1-7,O-Line,00:46,1m53s,"Chard, Cohen, Ley, O'Bryan, Plunkett, Roney, Vinson",q1
8,2-7,O-Line,00:04,42s,"Arbutine, Bode, Hodge, Ley, Poulos, Roney, Seuntjens",q1
9,2-7,D-Line,00:00,4s,"Arbutine, Chard, Clary, Hodge, Seuntjens, Travaglini, Weng",q1
0,2-8,O-Line,06:06,5m54s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q2
1,2-9,O-Line,05:10,56s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q2
2,3-9,O-Line,03:53,1m17s,"Chard, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q2
3,3-10,D-Line,02:32,1m21s,"Lootens, Patel, Plunkett, Poulos, Roney, Travaglini, Weng",q2
4,4-10,O-Line,01:21,1m11s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q2
5,4-11,D-Line,00:48,33s,"Arbutine, Chard, Hodge, Lootens, Patel, Poulos, Roney",q2
6,4-12,O-Line,00:00,48s,"Bode, Chard, Cohen, Ley, O'Bryan, Roney, Seuntjens",q2
0,4-13,D-Line,11:18,42s,"Arbutine, Diehl , Patel, Plunkett, Roney, Travaglini, Weng",q3
1,5-13,O-Line,10:45,33s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q3
2,5-14,D-Line,10:11,34s,"Arbutine, Chard, Clary, Hedges, Poulos, Weng, Witte",q3
3,6-14,O-Line,09:07,1m4s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q3
4,6-15,D-Line,08:23,44s,"Arbutine, Diehl , Patel, Plunkett, Poulos, Travaglini, Weng",q3
5,6-16,O-Line,05:04,3m19s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q3
6,7-16,O-Line,04:34,30s,"Bode, Cohen, Ley, O'Bryan, Poulos, Roney, Seuntjens",q3
7,8-16,D-Line,03:52,42s,"Chard, Clary, Lootens, O'Bryan, Patel, Roney, Weng",q3
8,8-17,D-Line,01:39,2m13s,"Hedges, Lootens, Plunkett, Roney, Seuntjens, Weng, Witte",q3
9,8-18,O-Line,00:04,1m35s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q3
10,8-18,O-Line,00:00,4s,"Arbutine, Chard, Hodge, Ley, Roney, Seuntjens, Travaglini",q3
0,9-18,O-Line,11:22,38s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q4
1,10-18,D-Line,10:11,1m11s,"Arbutine, Hedges, Ley, Patel, Poulos, Travaglini, Weng",q4
2,10-19,D-Line,09:41,30s,"Chard, Clary, Lootens, O'Bryan, Patel, Plunkett, Roney",q4
3,10-20,O-Line,08:30,1m11s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q4
4,11-20,O-Line,08:19,11s,"Chard, O'Bryan, Plunkett, Poulos, Roney, Seuntjens, Travaglini",q4
5,11-21,D-Line,05:30,2m49s,"Diehl , Hodge, Patel, Plunkett, Poulos, Travaglini, Weng",q4
6,12-21,O-Line,03:59,1m31s,"Bode, Chard, Hedges, Ley, O'Bryan, Roney, Seuntjens",q4
7,12-22,D-Line,03:22,37s,"Arbutine, Clary, Lootens, Poulos, Travaglini, Weng, Witte",q4
8,13-22,O-Line,02:34,48s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q4
9,13-23,D-Line,01:49,45s,"Diehl , Hedges, Lootens, O'Bryan, Patel, Plunkett, Witte",q4
10,13-24,O-Line,00:22,1m27s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q4
11,13-24,O-Line,00:00,22s,"Arbutine, Chard, Hodge, Ley, O'Bryan, Poulos, Seuntjens",q4
0,1-0,D-Line,11:28,32s,"Arbutine, Bode, Cohen, Hodge, Lootens, Patel, Poulos",q1
1,1-1,D-Line,10:52,36s,"Diehl , Lootens, O'Bryan, Patel, Plunkett, Travaglini, Weng",q1
2,1-2,O-Line,09:41,1m11s,"Chard, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q1
3,1-3,O-Line,08:00,1m41s,"Chard, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q1
4,1-4,O-Line,07:10,50s,"Chard, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q1
5,1-5,O-Line,05:55,1m15s,"Bode, Chard, Ley, O'Bryan, Roney, Seuntjens, Vinson",q1
6,1-6,O-Line,02:39,3m16s,"Bode, Chard, Ley, O'Bryan, Poulos, Roney, Seuntjens",q1
7,1-7,O-Line,00:46,1m53s,"Chard, Cohen, Ley, O'Bryan, Plunkett, Roney, Vinson",q1
8,2-7,O-Line,00:04,42s,"Arbutine, Bode, Hodge, Ley, Poulos, Roney, Seuntjens",q1
9,2-7,D-Line,00:00,4s,"Arbutine, Chard, Clary, Hodge, Seuntjens, Travaglini, Weng",q1
0,2-8,O-Line,06:06,5m54s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q2
1,2-9,O-Line,05:10,56s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q2
2,3-9,O-Line,03:53,1m17s,"Chard, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q2
3,3-10,D-Line,02:32,1m21s,"Lootens, Patel, Plunkett, Poulos, Roney, Travaglini, Weng",q2
4,4-10,O-Line,01:21,1m11s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q2
5,4-11,D-Line,00:48,33s,"Arbutine, Chard, Hodge, Lootens, Patel, Poulos, Roney",q2
6,4-12,O-Line,00:00,48s,"Bode, Chard, Cohen, Ley, O'Bryan, Roney, Seuntjens",q2
0,4-13,D-Line,11:18,42s,"Arbutine, Diehl , Patel, Plunkett, Roney, Travaglini, Weng",q3
1,5-13,O-Line,10:45,33s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q3
2,5-14,D-Line,10:11,34s,"Arbutine, Chard, Clary, Hedges, Poulos, Weng, Witte",q3
3,6-14,O-Line,09:07,1m4s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q3
4,6-15,D-Line,08:23,44s,"Arbutine, Diehl , Patel, Plunkett, Poulos, Travaglini, Weng",q3
5,6-16,O-Line,05:04,3m19s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q3
6,7-16,O-Line,04:34,30s,"Bode, Cohen, Ley, O'Bryan, Poulos, Roney, Seuntjens",q3
7,8-16,D-Line,03:52,42s,"Chard, Clary, Lootens, O'Bryan, Patel, Roney, Weng",q3
8,8-17,D-Line,01:39,2m13s,"Hedges, Lootens, Plunkett, Roney, Seuntjens, Weng, Witte",q3
9,8-18,O-Line,00:04,1m35s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q3
10,8-18,O-Line,00:00,4s,"Arbutine, Chard, Hodge, Ley, Roney, Seuntjens, Travaglini",q3
0,9-18,O-Line,11:22,38s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q4
1,10-18,D-Line,10:11,1m11s,"Arbutine, Hedges, Ley, Patel, Poulos, Travaglini, Weng",q4
2,10-19,D-Line,09:41,30s,"Chard, Clary, Lootens, O'Bryan, Patel, Plunkett, Roney",q4
3,10-20,O-Line,08:30,1m11s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q4
4,11-20,O-Line,08:19,11s,"Chard, O'Bryan, Plunkett, Poulos, Roney, Seuntjens, Travaglini",q4
5,11-21,D-Line,05:30,2m49s,"Diehl , Hodge, Patel, Plunkett, Poulos, Travaglini, Weng",q4
6,12-21,O-Line,03:59,1m31s,"Bode, Chard, Hedges, Ley, O'Bryan, Roney, Seuntjens",q4
7,12-22,D-Line,03:22,37s,"Arbutine, Clary, Lootens, Poulos, Travaglini, Weng, Witte",q4
8,13-22,O-Line,02:34,48s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q4
9,13-23,D-Line,01:49,45s,"Diehl , Hedges, Lootens, O'Bryan, Patel, Plunkett, Witte",q4
10,13-24,O-Line,00:22,1m27s,"Bode, Cohen, Ley, O'Bryan, Roney, Seuntjens, Vinson",q4
11,13-24,O-Line,00:00,22s,"Arbutine, Chard, Hodge, Ley, O'Bryan, Poulos, Seuntjens",q4
0,0-1,D-Line,11:41,19s,"Fil, Kinde, LeMaitre, Mitchuson , Riegel, Stanish, Turner",q1
1,0-2,O-Line,08:17,3m24s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q1
2,1-2,O-Line,07:13,1m4s,"Fil, Kinde, McDevitt , Patel, Ringwood, Stanish, Winn",q1
3,1-3,D-Line,06:42,31s,"Balfour, LeMaitre, McDevitt , Patel, Ringwood, Stanish, Winn",q1
4,2-3,O-Line,06:03,39s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q1
5,2-4,D-Line,05:19,44s,"Fil, Kinde, LeMaitre, Mitchuson , Riegel, Stanish, Turner",q1
6,2-5,O-Line,03:16,2m3s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q1
7,3-5,O-Line,01:45,1m31s,"Cubitt, Havey, Innis, Lee, Maynard, Sjogren, Walsh",q1
8,3-6,D-Line,01:21,24s,"Fil, Kinde, LeMaitre, Mitchuson , Riegel, Stanish, Turner",q1
9,3-6,O-Line,00:00,1m21s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q1
0,3-7,O-Line,11:12,48s,"Cubitt, Havey, Innis, Lee, Schwieterman, Sjogren, Walsh",q2
1,4-7,O-Line,10:54,18s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q2
2,4-8,D-Line,09:58,56s,"Balfour, LeMaitre, McDevitt , Patel, Ringwood, Stanish, Winn",q2
3,5-8,O-Line,09:14,44s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q2
4,5-9,D-Line,08:17,57s,"Fil, Kinde, LeMaitre, Mitchuson , Riegel, Stanish, Turner",q2
5,5-10,O-Line,07:13,1m4s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q2
6,5-11,O-Line,06:12,1m1s,"Balfour, Fil, Kinde, Patel, Ringwood, Stanish, Winn",q2
7,6-11,O-Line,05:27,45s,"Cubitt, Havey, Innis, Lee, Maynard, Sjogren, Walsh",q2
8,6-12,D-Line,04:25,1m2s,"Fil, Kinde, LeMaitre, Mitchuson , Riegel, Stanish, Turner",q2
9,7-12,O-Line,03:47,38s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q2
10,7-13,D-Line,03:08,39s,"Balfour, LeMaitre, McDevitt , Patel, Ringwood, Stanish, Winn",q2
11,7-14,O-Line,02:17,51s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q2
12,7-15,O-Line,00:10,2m7s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q2
13,7-15,O-Line,00:00,10s,"Cubitt, Havey, Kinde, LeMaitre, Patel, Stanish, Walsh",q2
0,7-16,D-Line,10:23,1m37s,"Balfour, LeMaitre, McDevitt , Patel, Ringwood, Stanish, Winn",q3
1,7-17,O-Line,09:42,41s,"Cubitt, Havey, Innis, Lee, Maynard, Schwieterman, Walsh",q3
2,8-17,O-Line,06:21,3m21s,"Cubitt, Havey, Innis, Lee, Maynard, Schwieterman, Walsh",q3
3,8-18,D-Line,04:55,1m26s,"Fil, Kinde, Lee, LeMaitre, Riegel, Stanish, Turner",q3
4,8-19,O-Line,04:02,53s,"Cubitt, Havey, Innis, Maynard, Mitchuson , Schwieterman, Walsh",q3
5,9-19,O-Line,02:48,1m14s,"Cubitt, Havey, Innis, Maynard, Mitchuson , Schwieterman, Walsh",q3
6,9-20,D-Line,02:17,31s,"Balfour, LeMaitre, McDevitt , Patel, Ringwood, Stanish, Winn",q3
7,10-20,O-Line,01:12,1m5s,"Cubitt, Havey, Innis, Maynard, Mitchuson , Schwieterman, Walsh",q3
8,10-21,D-Line,00:44,28s,"Fil, Kinde, Lee, LeMaitre, Riegel, Stanish, Turner",q3
9,10-21,O-Line,00:00,44s,"Cubitt, Havey, Innis, Maynard, Mitchuson , Schwieterman, Walsh",q3
0,10-22,O-Line,11:25,35s,"Havey, Innis, Kinde, Maynard, Mitchuson , Schwieterman, Walsh",q4
1,11-22,O-Line,11:00,25s,"Havey, Innis, Kinde, Maynard, Mitchuson , Schwieterman, Walsh",q4
2,11-23,D-Line,10:29,31s,"Balfour, Fil, Lee, LeMaitre, Riegel, Stanish, Turner",q4
3,11-24,O-Line,09:58,31s,"Havey, Innis, Kinde, Maynard, Mitchuson , Schwieterman, Walsh",q4
4,11-25,O-Line,09:00,58s,"Havey, Innis, Kinde, Maynard, Mitchuson , Schwieterman, Walsh",q4
5,11-26,O-Line,06:31,2m29s,"Balfour, Fil, McDevitt , Patel, Ringwood, Stanish, Winn",q4
6,11-27,O-Line,04:49,1m42s,"Cubitt, Havey, Innis, Kinde, Maynard, Mitchuson , Schwieterman",q4
7,12-27,O-Line,04:22,27s,"Balfour, Fil, McDevitt , Patel, Ringwood, Stanish, Winn",q4
8,12-28,D-Line,02:28,1m54s,"Fil, Kinde, Lee, LeMaitre, Riegel, Stanish, Turner",q4
9,12-29,O-Line,01:42,46s,"Cubitt, Havey, Innis, Maynard, Mitchuson , Schwieterman, Walsh",q4
10,12-30,O-Line,00:35,1m7s,"Cubitt, Innis, Maynard, Mitchuson , Riegel, Schwieterman, Walsh",q4
11,13-30,O-Line,00:14,21s,"Fil, Kinde, McDevitt , Patel, Ringwood, Stanish, Winn",q4
12,13-30,D-Line,00:00,14s,"Fil, Lee, LeMaitre, McDevitt , Patel, Stanish, Winn",q4
0,0-1,D-Line,11:41,19s,"Fil, Kinde, LeMaitre, Mitchuson , Riegel, Stanish, Turner",q1
1,0-2,O-Line,08:17,3m24s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q1
2,1-2,O-Line,07:13,1m4s,"Fil, Kinde, McDevitt , Patel, Ringwood, Stanish, Winn",q1
3,1-3,D-Line,06:42,31s,"Balfour, LeMaitre, McDevitt , Patel, Ringwood, Stanish, Winn",q1
4,2-3,O-Line,06:03,39s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q1
5,2-4,D-Line,05:19,44s,"Fil, Kinde, LeMaitre, Mitchuson , Riegel, Stanish, Turner",q1
6,2-5,O-Line,03:16,2m3s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q1
7,3-5,O-Line,01:45,1m31s,"Cubitt, Havey, Innis, Lee, Maynard, Sjogren, Walsh",q1
8,3-6,D-Line,01:21,24s,"Fil, Kinde, LeMaitre, Mitchuson , Riegel, Stanish, Turner",q1
9,3-6,O-Line,00:00,1m21s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q1
0,3-7,O-Line,11:12,48s,"Cubitt, Havey, Innis, Lee, Schwieterman, Sjogren, Walsh",q2
1,4-7,O-Line,10:54,18s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q2
2,4-8,D-Line,09:58,56s,"Balfour, LeMaitre, McDevitt , Patel, Ringwood, Stanish, Winn",q2
3,5-8,O-Line,09:14,44s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q2
4,5-9,D-Line,08:17,57s,"Fil, Kinde, LeMaitre, Mitchuson , Riegel, Stanish, Turner",q2
5,5-10,O-Line,07:13,1m4s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q2
6,5-11,O-Line,06:12,1m1s,"Balfour, Fil, Kinde, Patel, Ringwood, Stanish, Winn",q2
7,6-11,O-Line,05:27,45s,"Cubitt, Havey, Innis, Lee, Maynard, Sjogren, Walsh",q2
8,6-12,D-Line,04:25,1m2s,"Fil, Kinde, LeMaitre, Mitchuson , Riegel, Stanish, Turner",q2
9,7-12,O-Line,03:47,38s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q2
10,7-13,D-Line,03:08,39s,"Balfour, LeMaitre, McDevitt , Patel, Ringwood, Stanish, Winn",q2
11,7-14,O-Line,02:17,51s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q2
12,7-15,O-Line,00:10,2m7s,"Cubitt, Havey, Innis, Maynard, Schwieterman, Sjogren, Walsh",q2
13,7-15,O-Line,00:00,10s,"Cubitt, Havey, Kinde, LeMaitre, Patel, Stanish, Walsh",q2
0,7-16,D-Line,10:23,1m37s,"Balfour, LeMaitre, McDevitt , Patel, Ringwood, Stanish, Winn",q3
1,7-17,O-Line,09:42,41s,"Cubitt, Havey, Innis, Lee, Maynard, Schwieterman, Walsh",q3
2,8-17,O-Line,06:21,3m21s,"Cubitt, Havey, Innis, Lee, Maynard, Schwieterman, Walsh",q3
3,8-18,D-Line,04:55,1m26s,"Fil, Kinde, Lee, LeMaitre, Riegel, Stanish, Turner",q3
4,8-19,O-Line,04:02,53s,"Cubitt, Havey, Innis, Maynard, Mitchuson , Schwieterman, Walsh",q3
5,9-19,O-Line,02:48,1m14s,"Cubitt, Havey, Innis, Maynard, Mitchuson , Schwieterman, Walsh",q3
6,9-20,D-Line,02:17,31s,"Balfour, LeMaitre, McDevitt , Patel, Ringwood, Stanish, Winn",q3
7,10-20,O-Line,01:12,1m5s,"Cubitt, Havey, Innis, Maynard, Mitchuson , Schwieterman, Walsh",q3
8,10-21,D-Line,00:44,28s,"Fil, Kinde, Lee, LeMaitre, Riegel, Stanish, Turner",q3
9,10-21,O-Line,00:00,44s,"Cubitt, Havey, Innis, Maynard, Mitchuson , Schwieterman, Walsh",q3
0,10-22,O-Line,11:25,35s,"Havey, Innis, Kinde, Maynard, Mitchuson , Schwieterman, Walsh",q4
1,11-22,O-Line,11:00,25s,"Havey, Innis, Kinde, Maynard, Mitchuson , Schwieterman, Walsh",q4
2,11-23,D-Line,10:29,31s,"Balfour, Fil, Lee, LeMaitre, Riegel, Stanish, Turner",q4
3,11-24,O-Line,09:58,31s,"Havey, Innis, Kinde, Maynard, Mitchuson , Schwieterman, Walsh",q4
4,11-25,O-Line,09:00,58s,"Havey, Innis, Kinde, Maynard, Mitchuson , Schwieterman, Walsh",q4
5,11-26,O-Line,06:31,2m29s,"Balfour, Fil, McDevitt , Patel, Ringwood, Stanish, Winn",q4
6,11-27,O-Line,04:49,1m42s,"Cubitt, Havey, Innis, Kinde, Maynard, Mitchuson , Schwieterman",q4
7,12-27,O-Line,04:22,27s,"Balfour, Fil, McDevitt , Patel, Ringwood, Stanish, Winn",q4
8,12-28,D-Line,02:28,1m54s,"Fil, Kinde, Lee, LeMaitre, Riegel, Stanish, Turner",q4
9,12-29,O-Line,01:42,46s,"Cubitt, Havey, Innis, Maynard, Mitchuson , Schwieterman, Walsh",q4
10,12-30,O-Line,00:35,1m7s,"Cubitt, Innis, Maynard, Mitchuson , Riegel, Schwieterman, Walsh",q4
11,13-30,O-Line,00:14,21s,"Fil, Kinde, McDevitt , Patel, Ringwood, Stanish, Winn",q4
12,13-30,D-Line,00:00,14s,"Fil, Lee, LeMaitre, McDevitt , Patel, Stanish, Winn",q4
0,1-0,D-Line,11:06,54s,"Bloodworth, Cretella, Davis, Long, Lynch, Russell, Weaver",q1
1,2-0,D-Line,10:27,39s,"Bloodworth, Cretella, Davis, Long, Lynch, Russell, Weaver",q1
