,GAME_INFO,LOCATION,TEAM1_NAME,TEAM1_SCORE,TEAM2_NAME,TEAM2_SCORE
7,2019-06-29 18:00:00,Complexe Sportif Claude-Robillard, New York Empire,22, Montreal Royal,19
8,2019-06-29 18:00:00,JC Stone Field, Indianapolis AlleyCats,23, Pittsburgh Thunderbirds,20
9,2019-06-29 16:00:00,Varsity Stadium, Philadelphia Phoenix,26, Toronto Rush,24
0,2015-06-27 21:00:00,, San Francisco FlameThrowers,22, Vancouver Riptide,19
1,2015-06-27 18:00:00,, Rochester Dragons,10, Toronto Rush,27
2,2015-06-27 16:00:00,, Chicago Union,21, Detroit Mechanix,11
3,2015-06-22 18:30:00,, Montreal Royal,23, Rochester Dragons,17
4,2015-06-21 16:30:00,, Vancouver Riptide,20, LA Aviators,27
5,2015-06-21 16:00:00,, Seattle Cascades,21, San Francisco FlameThrowers,25
6,2015-06-21 15:00:00,, Montreal Royal,24, Rochester Dragons,21
7,2015-06-21 14:00:00,, DC Breeze,13, New York Empire,21
8,2015-06-20 22:00:00,, Seattle Cascades,28, San Jose Spiders,35
9,2015-06-20 19:30:00,, Pittsburgh Thunderbirds,25, Cincinnati Revolution,19
0,2014-07-19 20:00:00,, Chicago Union,17, New York Empire,22
1,2014-07-19 20:00:00,, DC Breeze,12, Toronto Rush,37
2,2014-07-19 20:00:00,, Indianapolis AlleyCats,16, Madison Radicals,25
3,2014-07-18 20:00:00,, San Francisco FlameThrowers,16, San Jose Spiders,26
4,2014-07-13 20:00:00,, Indianapolis AlleyCats,15, Minnesota Wind Chill,25
5,2014-07-12 20:00:00,, Vancouver Riptide,21, Seattle Cascades,18
6,2014-07-12 20:00:00,, DC Breeze,14, New York Empire,13
7,2014-07-12 20:00:00,, San Jose Spiders,23, San Francisco FlameThrowers,17
8,2014-07-12 20:00:00,, Toronto Rush,24, Philadelphia Phoenix,18
9,2014-07-06 20:00:00,, DC Breeze,25, Philadelphia Phoenix,20
0,2013-07-05 21:00:00,, Minnesota Wind Chill,13, Chicago Union,28
1,2013-06-30 17:00:00,, Madison Radicals,29, Detroit Mechanix,22
2,2013-06-30 15:00:00,, Toronto Rush,26, Rochester Dragons,20
3,2013-06-30 14:00:00,, New Jersey Hammerheads,17, Philadelphia Phoenix,20
4,2013-06-29 20:30:00,, Detroit Mechanix,17, Indianapolis AlleyCats,24
5,2013-06-29 20:00:00,, Cincinnati Revolution,24, Minnesota Wind Chill,35
6,2013-06-29 20:00:00,, Madison Radicals,15, Chicago Union,13
7,2013-06-29 17:00:00,, Rochester Dragons,18, Toronto Rush,28
8,2013-06-29 16:00:00,, New Jersey Hammerheads,9, New York Empire,22
9,2013-06-29 14:00:00,, Philadelphia Phoenix,23, DC Breeze,21
0,2019-06-28 20:00:00,Breese Stevens Field, Chicago Union,21, Madison Radicals,18
1,2019-06-23 14:00:00,MNP Park Stadium, Toronto Rush,22, Ottawa Outlaws,17
2,2019-06-23 14:00:00,Rudolph Gamblin Field, Tampa Bay Cannons,14, Austin Sol,23
3,2019-06-22 22:00:00,Foothill College Stadium, LA Aviators,31, San Jose Spiders,27
4,2019-06-22 21:00:00,Seattle Memorial Stadium, San Diego Growlers,30, Seattle Cascades,25
5,2019-06-22 20:00:00,John Paul II High School, Tampa Bay Cannons,22, Dallas Legion,29
6,2019-06-22 19:00:00,Grand Park, Minnesota Wind Chill,23, Indianapolis AlleyCats,24
7,2019-06-22 19:00:00,WakeMed Soccer Park, New York Empire,25, Raleigh Flyers,24
8,2019-06-22 18:00:00,JC Stone Field, Madison Radicals,20, Pittsburgh Thunderbirds,21
9,2019-06-22 18:00:00,Complexe Sportif Claude-Robillard, Toronto Rush,22, Montreal Royal,23
0,2015-06-20 21:00:00,, Vancouver Riptide,28, San Diego Growlers,32
1,2015-06-20 19:00:00,, Raleigh Flyers,24, Charlotte Express,21
2,2015-06-20 19:00:00,, Chicago Union,16, Madison Radicals,24
3,2015-06-20 18:30:00,, New York Empire,8, DC Breeze,7
4,2015-06-20 18:00:00,, Atlanta Hustle,27, Jacksonville Cannons,29
5,2015-06-20 18:00:00,, Montreal Royal,18, Toronto Rush,24
6,2015-06-19 20:00:00,, Madison Radicals,23, Chicago Union,22
7,2015-06-14 15:00:00,, Jacksonville Cannons,28, Raleigh Flyers,26
8,2015-06-14 15:00:00,, Philadelphia Phoenix,18, Rochester Dragons,19
9,2015-06-14 15:00:00,, Atlanta Hustle,25, Nashville Nightwatch,21
0,2014-07-05 20:00:00,, Montreal Royal,20, Toronto Rush,19
1,2014-07-05 20:00:00,, Rochester Dragons,23, Philadelphia Phoenix,28
2,2014-07-05 20:00:00,, New York Empire,31, DC Breeze,23
3,2014-07-05 20:00:00,, Detroit Mechanix,20, Cincinnati Revolution,24
4,2014-06-29 20:00:00,, Seattle Cascades,26, Vancouver Riptide,28
5,2014-06-29 20:00:00,, DC Breeze,13, New York Empire,21
6,2014-06-28 20:00:00,, Detroit Mechanix,9, Madison Radicals,28
7,2014-06-28 20:00:00,, Cincinnati Revolution,11, Chicago Union,21
8,2014-06-28 20:00:00,, Toronto Rush,29, Rochester Dragons,20
9,2014-06-28 20:00:00,, DC Breeze,29, Montreal Royal,20
0,2021-09-11 19:00:00,Audi Field, Raleigh Flyers,19, New York Empire,16
1,2021-09-10 19:00:00,Audi Field, Raleigh Flyers,21, Chicago Union,20
2,2021-09-10 16:00:00,Audi Field, San Diego Growlers,18, New York Empire,22
3,2021-09-09 19:00:00,Complexe Sportif Claude-Robillard, Toronto Rush,18, Montreal Royal,19
4,2021-09-04 19:45:00,Granite Knolls Park, Atlanta Hustle,21, New York Empire,22
5,2021-09-04 18:00:00,TD Place, Toronto Rush,24, Ottawa Outlaws,22
6,2021-09-03 19:30:00,"Carlini Field, Catholic U", Raleigh Flyers,19, DC Breeze,16
7,2021-08-29 18:00:00,De La Salle Institute, Minnesota Wind Chill,19, Chicago Union,21
