,teamID,year,city,name_x,fullName,abbrev,wins,losses,ties,standing,divisionID,name_y
192,cascades,2022,Seattle,Cascades,Seattle Cascades,SEA,2,10,0,6,west,West
193,mechanix,2023,Detroit,Mechanix,Detroit Mechanix,DET,0,8,0,6,central,Central
194,royal,2022,Montreal,Royal,Montreal Royal,MTL,4,8,0,5,east,East
195,nitro,2022,Portland,Nitro,Portland Nitro,POR,2,10,0,7,west,West
196,union,2022,Chicago,Union,Chicago Union,CHI,13,2,0,1,central,Central
197,windchill,2022,Minnesota,Wind Chill,Minnesota Wind Chill,MIN,10,4,0,2,central,Central
198,alleycats,2022,Indianapolis,AlleyCats,Indianapolis AlleyCats,IND,6,7,0,3,central,Central
199,radicals,2022,Madison,Radicals,Madison Radicals,MAD,6,6,0,4,central,Central
200,allstars2,2022,South-West,All-Stars,South-West All-Stars,SW,0,0,0,2,allstars,All Stars
201,growlers,2022,San Diego,Growlers,San Diego Growlers,SD,9,4,0,3,west,West
202,spiders,2022,Oakland,Spiders,Oakland Spiders,OAK,4,8,0,4,west,West
203,aviators,2022,LA,Aviators,LA Aviators,LA,4,8,0,5,west,West
204,thunderbirds,2022,Pittsburgh,Thunderbirds,Pittsburgh Thunderbirds,PIT,4,8,0,5,central,Central
205,cascades,2023,Seattle,Cascades,Seattle Cascades,SEA,2,8,0,6,west,West
206,nitro,2023,Portland,Nitro,Portland Nitro,POR,0,8,0,7,west,West
207,royal,2023,Montreal,Royal,Montreal Royal,MTL,0,10,0,6,east,East
208,alleycats,2023,Indianapolis,AlleyCats,Indianapolis AlleyCats,IND,7,2,0,1,central,Central
209,windchill,2023,Minnesota,Wind Chill,Minnesota Wind Chill,MIN,6,2,0,2,central,Central
210,union,2023,Chicago,Union,Chicago Union,CHI,5,3,0,3,central,Central
211,thunderbirds,2023,Pittsburgh,Thunderbirds,Pittsburgh Thunderbirds,PIT,4,4,0,4,central,Central
212,phoenix,2022,Philadelphia,Phoenix,Philadelphia Phoenix,PHI,6,7,0,3,east,East
213,glory,2022,Boston,Glory,Boston Glory,BOS,4,8,0,4,east,East
214,rush,2022,Toronto,Rush,Toronto Rush,TOR,4,8,0,6,east,East
215,empire,2023,New York,Empire,New York Empire,NY,9,0,0,1,east,East
216,summit,2022,Colorado,Summit,Colorado Summit,COL,12,2,0,1,west,West
217,breeze,2023,DC,Breeze,DC Breeze,DC,6,3,0,2,east,East
218,hustle,2023,Atlanta,Hustle,Atlanta Hustle,ATL,8,2,0,1,south,South
219,sol,2023,Austin,Sol,Austin Sol,ATX,7,3,0,2,south,South
220,shred,2023,Salt Lake,Shred,Salt Lake Shred,SLC,10,0,0,1,west,West
221,summit,2023,Colorado,Summit,Colorado Summit,COL,8,3,0,2,west,West
222,spiders,2023,Oakland,Spiders,Oakland Spiders,OAK,5,3,0,3,west,West
223,growlers,2023,San Diego,Growlers,San Diego Growlers,SD,2,7,0,5,west,West
224,glory,2023,Boston,Glory,Boston Glory,BOS,5,4,0,3,east,East
225,flyers,2023,Carolina,Flyers,Carolina Flyers,CAR,6,3,0,3,south,South
226,havoc,2023,Houston,Havoc,Houston Havoc,HTX,2,7,0,4,south,South
227,legion,2023,Dallas,Legion,Dallas Legion,DAL,0,8,0,5,south,South
228,phoenix,2023,Philadelphia,Phoenix,Philadelphia Phoenix,PHI,5,4,0,4,east,East
229,shred,2022,Salt Lake,Shred,Salt Lake Shred,SLC,11,3,0,2,west,West
230,rush,2023,Toronto,Rush,Toronto Rush,TOR,4,5,0,5,east,East
