YEAR - TEAM,GAMES,POINTS_PLAYED,MINUTES,ASSISTSS,GOALS,BLOCKS,P/M,COMPLETIONS,COMPLETION_PERCENT,THROWING_YARDS,RECEIVING_YARDS,HOCKEY_ASSISTS,TURNS,STALLS,DROPS,CALLAHANS,HUCKS,HUCK_PERCENT,OFFESNIVE_PP,DEFENSIVE_PP,PULLS,PULL_PERCENT,PULL_HANGTIME,NAME,SEASON
2015 - SF,1,21,25,1,0,1,2,20,100,--,--,1,0,0,0,0,--,--,6,15,9,90,6.1,Jordan Jeffery,post-season
2021 - SJ,11,279,280,25,27,13,42,289,92.63,2868,2022,21,18,0,5,0,13,92.86,241,38,0,--,--,Jordan Kerr,regular season
2021 - DET,9,143,129,11,4,2,2,106,87.6,813,428,1,13,0,2,0,5,50,58,85,16,100,5.71,Jordan Kinde,regular season
2019 - DET,12,240,343,24,9,7,11,216,87.1,--,--,16,26,0,3,0,--,--,196,44,6,100,2.7,Jordan Kinde,regular season
Career,21,383,473,35,13,9,13,322,87.26,813,428,17,39,0,5,0,5,50,254,129,22,100,5.21,Jordan Kinde,regular season
2017 - SF,6,169,126,8,18,7,27,146,95.42,--,--,13,4,0,2,0,--,--,149,20,1,100,8.67,Jordan Marcy,regular season
2016 - SF,12,294,284,10,9,6,14,424,97.7,--,--,34,8,0,3,0,--,--,216,78,0,--,--,Jordan Marcy,regular season
2015 - SJ,12,241,260,16,2,4,11,266,95,--,--,21,11,1,0,0,--,--,128,113,2,100,--,Jordan Marcy,regular season
Career,30,704,671,34,29,17,52,836,96.42,--,--,68,23,1,5,0,--,--,493,211,3,100,8.67,Jordan Marcy,regular season
2017 - SF,3,71,56,4,4,1,7,92,97.87,--,--,7,2,0,0,0,--,--,68,3,0,--,--,Jordan Marcy,post-season
2016 - SF,1,21,22,0,0,0,-2,25,92.59,--,--,3,2,0,0,0,--,--,17,4,0,--,--,Jordan Marcy,post-season
2015 - SJ,3,50,66,2,3,1,3,102,96.23,--,--,1,2,0,1,0,--,--,37,13,0,--,--,Jordan Marcy,post-season
Career,7,142,145,6,7,2,8,219,96.48,--,--,11,6,0,1,0,--,--,122,20,0,--,--,Jordan Marcy,post-season
2017 - OTT,13,233,206,6,19,9,24,61,89.71,--,--,8,5,0,5,0,--,--,63,170,1,100,4.46,Jordan McGregor,regular season
