YEAR - TEAM,GAMES,POINTS_PLAYED,MINUTES,ASSISTSS,GOALS,BLOCKS,P/M,COMPLETIONS,COMPLETION_PERCENT,THROWING_YARDS,RECEIVING_YARDS,HOCKEY_ASSISTS,TURNS,STALLS,DROPS,CALLAHANS,HUCKS,HUCK_PERCENT,OFFESNIVE_PP,DEFENSIVE_PP,PULLS,PULL_PERCENT,PULL_HANGTIME,NAME,SEASON
2021 - OTT,8,137,133,3,6,2,7,9,81.82,-7,459,0,1,0,3,0,0,0,3,134,0,--,--,Brandon Adibe,regular season
2019 - SJ,4,57,45,1,3,1,4,3,100,--,--,0,0,0,1,0,--,--,2,55,33,91.67,7.1,Brandon Canonizado,regular season
2018 - SF,8,109,84,4,2,2,4,53,91.38,--,--,4,4,0,0,0,--,--,40,69,10,90.91,6.14,Brandon Canonizado,regular season
Career,12,166,130,5,5,3,8,56,91.8,--,--,4,4,0,1,0,--,--,42,124,43,91.49,6.84,Brandon Canonizado,regular season
2021 - AUS,2,16,16,0,2,1,3,3,100,-20,90,1,0,0,0,0,0,0,0,16,0,--,--,Brandon Dial,regular season
2019 - AUS,7,72,70,3,0,2,1,19,90.48,--,--,2,2,0,2,0,--,--,13,59,1,100,4.58,Brandon Dial,regular season
2017 - AUS,7,73,57,1,1,3,2,7,70,--,--,0,3,0,0,0,--,--,8,65,2,100,3.81,Brandon Dial,regular season
Career,16,161,144,4,3,6,6,29,85.29,-20,90,3,5,0,2,0,0,0,21,140,3,100,4.07,Brandon Dial,regular season
2021 - SJ,8,112,138,1,5,5,9,24,88.89,76,201,0,2,0,0,0,0,0,4,108,63,98.44,9.99,Brandon Fein,regular season
2019 - SJ,10,209,183,6,11,7,19,55,91.67,--,--,2,5,0,0,0,--,--,48,161,114,98.28,5.64,Brandon Fein,regular season
2018 - SJ,12,261,254,7,20,23,41,84,92.31,--,--,8,6,0,3,1,--,--,94,167,86,97.73,5.81,Brandon Fein,regular season
2017 - SJ,14,318,288,7,21,24,47,114,97.44,--,--,7,3,0,2,0,--,--,79,239,78,95.12,7.06,Brandon Fein,regular season
2016 - SJ,13,276,240,12,21,10,35,83,93.26,--,--,7,5,0,3,0,--,--,124,152,95,97.94,6.81,Brandon Fein,regular season
2015 - SF,11,170,140,4,13,9,17,59,85.51,--,--,5,9,0,0,0,--,--,67,103,6,100,5.21,Brandon Fein,regular season
2014 - SF,11,218,229,6,31,8,29,56,83.58,--,--,5,10,0,6,0,--,--,98,120,0,--,--,Brandon Fein,regular season
Career,79,1564,1474,43,122,86,197,475,91.35,76,201,34,40,0,14,1,0,0,514,1050,442,97.57,6.96,Brandon Fein,regular season
2017 - SJ,1,24,22,0,2,2,4,5,100,--,--,0,0,0,0,0,--,--,6,18,17,100,7.24,Brandon Fein,post-season
2014 - SF,1,16,13,0,0,0,0,4,100,--,--,0,0,0,0,0,--,--,9,7,0,--,--,Brandon Fein,post-season
Career,2,40,36,0,2,2,4,9,100,--,--,0,0,0,0,0,--,--,15,25,17,100,7.24,Brandon Fein,post-season
2015 - ROC,7,58,47,0,1,0,-1,14,100,--,--,0,0,0,2,0,--,--,11,47,0,--,--,Brandon Kahler,regular season
2021 - PHI,1,15,13,1,0,2,1,8,72.73,26,5,0,2,0,0,0,1,50,1,14,12,85.71,5.68,Brandon Lamberty,regular season
2018 - PHI,6,108,95,5,2,0,-6,86,87.76,--,--,5,12,0,1,0,--,--,24,84,6,100,5.86,Brandon Lamberty,regular season
Career,7,123,109,6,2,2,-5,94,86.24,26,5,5,14,0,1,0,1,50,25,98,18,90,5.75,Brandon Lamberty,regular season
2021 - DAL,7,100,120,10,1,2,3,98,90.74,1246,30,8,10,0,0,0,11,68.75,38,62,44,100,8.66,Brandon Malecek,regular season
2019 - DAL,11,224,253,24,9,2,2,365,91.25,--,--,23,33,1,0,0,--,--,206,18,0,--,--,Brandon Malecek,regular season
2018 - DAL,12,293,296,47,5,4,11,577,92.47,--,--,41,43,0,2,0,--,--,251,42,10,83.33,6.99,Brandon Malecek,regular season
2017 - DAL,14,337,328,32,9,7,6,537,92.11,--,--,49,40,0,2,0,--,--,298,39,8,80,6.59,Brandon Malecek,regular season
2016 - DAL,13,316,302,31,8,4,10,469,92.32,--,--,39,32,0,1,0,--,--,267,49,15,93.75,6.4,Brandon Malecek,regular season
2012 - RIR,14,162,0,38,12,13,-22,584,89.85,--,--,0,66,0,19,0,--,--,82,80,0,--,--,Brandon Malecek,regular season
Career,71,1432,1301,182,44,32,10,2630,91.54,1246,30,160,224,1,24,0,11,68.75,1142,290,77,93.9,7.87,Brandon Malecek,regular season
2019 - DAL,1,1,0,0,0,0,0,0,0,--,--,0,0,0,0,0,--,--,0,1,0,--,--,Brandon Malecek,post-season
2018 - DAL,3,53,53,4,1,0,-5,92,89.32,--,--,6,10,0,0,0,--,--,50,3,0,--,--,Brandon Malecek,post-season
2017 - DAL,3,61,67,2,2,1,3,133,98.52,--,--,4,2,0,0,0,--,--,59,2,0,--,--,Brandon Malecek,post-season
2016 - DAL,3,73,64,11,4,0,13,89,97.8,--,--,9,2,0,0,0,--,--,69,4,0,--,--,Brandon Malecek,post-season
2012 - RIR,1,11,0,3,1,1,-2,42,89.36,--,--,0,5,0,2,0,--,--,6,5,0,--,--,Brandon Malecek,post-season
Career,11,199,186,20,8,2,9,356,94.68,--,--,19,19,0,2,0,--,--,184,15,0,--,--,Brandon Malecek,post-season
2021 - MIN,12,153,187,4,4,9,15,32,94.12,15,562,1,2,0,0,0,0,0,1,152,37,92.5,9.72,Brandon Matis,regular season
2019 - MIN,12,177,163,3,8,8,11,46,86.79,--,--,3,6,0,2,0,--,--,35,142,2,100,5.38,Brandon Matis,regular season
2018 - MIN,14,219,185,12,11,8,22,45,83.33,--,--,7,7,0,2,0,--,--,20,199,27,93.1,5.97,Brandon Matis,regular season
2017 - MIN,9,119,96,0,5,12,12,13,72.22,--,--,0,4,0,1,0,--,--,10,109,4,100,3.53,Brandon Matis,regular season
2016 - MIN,12,267,267,20,17,10,28,116,88.55,--,--,6,15,0,4,0,--,--,93,174,148,98.67,5.62,Brandon Matis,regular season
2015 - MIN,13,218,234,11,18,16,31,92,86.79,--,--,7,10,0,4,0,--,--,62,156,3,100,5.95,Brandon Matis,regular season
2014 - MIN,8,155,124,4,12,8,20,26,92.86,--,--,2,2,0,2,0,--,--,32,123,6,100,6.58,Brandon Matis,regular season
2013 - MIN,5,69,0,0,7,4,4,20,86.96,--,--,0,3,0,4,0,--,--,19,50,0,--,--,Brandon Matis,regular season
Career,85,1377,1259,54,82,75,143,390,87.25,15,562,26,49,0,19,0,0,0,272,1105,227,97.01,6.29,Brandon Matis,regular season
2021 - MIN,1,13,17,0,0,0,0,1,100,-6,2,0,0,0,0,0,0,0,0,13,4,100,13.35,Brandon Matis,post-season
2018 - MIN,1,11,8,0,0,2,2,3,100,--,--,1,0,0,0,0,--,--,0,11,0,--,--,Brandon Matis,post-season
2016 - MIN,1,22,19,0,2,1,2,4,100,--,--,1,0,0,1,0,--,--,7,15,1,50,--,Brandon Matis,post-season
Career,3,46,46,0,2,3,4,8,100,-6,2,2,0,0,1,0,0,0,7,39,5,83.33,13.35,Brandon Matis,post-season
2021 - PHI,10,146,169,4,13,2,18,55,98.21,163,890,3,1,0,0,0,0,0,83,63,0,--,--,Brandon Pastor,regular season
2019 - PHI,4,22,16,0,2,0,0,10,83.33,--,--,3,2,0,0,0,--,--,18,4,0,--,--,Brandon Pastor,regular season
2018 - PHI,11,98,95,3,7,3,10,37,90.24,--,--,2,2,0,1,0,--,--,52,46,0,--,--,Brandon Pastor,regular season
Career,25,266,282,7,22,5,28,102,93.58,163,890,8,5,0,1,0,0,0,153,113,0,--,--,Brandon Pastor,regular season
2021 - TB,1,16,19,2,0,1,0,19,86.36,147,-4,0,3,0,0,0,0,0,13,3,0,--,--,Brandon Perales,regular season
2019 - TB,5,52,55,3,0,2,-2,55,87.3,--,--,1,6,0,1,0,--,--,25,27,8,80,5.71,Brandon Perales,regular season
2018 - TB,13,111,127,5,2,6,4,127,93.38,--,--,6,9,0,0,1,--,--,47,64,7,87.5,8.22,Brandon Perales,regular season
2017 - JAX,13,179,141,10,1,4,8,105,90.52,--,--,6,6,0,1,0,--,--,24,155,9,90,5.05,Brandon Perales,regular season
2016 - JAX,13,272,246,15,3,3,0,268,91.47,--,--,19,19,0,2,0,--,--,160,112,9,100,6.83,Brandon Perales,regular season
2015 - JAX,13,298,298,23,4,10,16,294,93.04,--,--,27,17,0,4,0,--,--,161,137,6,100,4.76,Brandon Perales,regular season
Career,58,928,889,58,10,26,26,868,91.75,147,-4,59,60,0,8,1,0,0,430,498,39,90.7,6.08,Brandon Perales,regular season
2017 - JAX,1,5,5,1,0,0,0,7,87.5,--,--,1,1,0,0,0,--,--,2,3,3,100,5.39,Brandon Perales,post-season
2015 - JAX,1,25,23,1,1,1,0,19,86.36,--,--,1,3,0,0,0,--,--,12,13,1,100,7.43,Brandon Perales,post-season
Career,2,30,29,2,1,1,0,26,86.67,--,--,2,4,0,0,0,--,--,14,16,4,100,5.9,Brandon Perales,post-season
2018 - LA,12,199,191,5,6,13,20,69,93.24,--,--,9,4,0,0,0,--,--,29,170,18,90,6.97,Brandon Severson,regular season
2017 - LA,9,125,109,8,5,9,18,42,89.36,--,--,3,4,0,0,0,--,--,11,114,0,--,--,Brandon Severson,regular season
2016 - LA,9,142,140,8,12,12,30,60,98.36,--,--,4,1,0,1,0,--,--,21,121,0,--,--,Brandon Severson,regular season
Career,30,466,442,21,23,34,68,171,93.96,--,--,16,9,0,1,0,--,--,61,405,18,90,6.97,Brandon Severson,regular season
2018 - LA,2,30,27,2,2,0,4,9,90,--,--,0,0,0,0,0,--,--,3,27,9,81.82,5.73,Brandon Severson,post-season
2016 - LA,1,19,13,0,1,0,1,3,100,--,--,0,0,0,0,0,--,--,6,13,0,--,--,Brandon Severson,post-season
Career,3,49,41,2,3,0,5,12,92.31,--,--,0,0,0,0,0,--,--,9,40,9,81.82,5.73,Brandon Severson,post-season
2015 - MAD,1,9,6,0,1,0,1,0,0,--,--,0,0,0,0,0,--,--,0,9,0,--,--,Brandon Taitt,regular season
2016 - DET,12,194,178,3,5,11,-3,57,74.03,--,--,4,18,0,4,0,--,--,45,149,15,100,4.46,Brandon Thomas,regular season
2015 - PIT,7,73,62,2,2,3,6,15,88.24,--,--,0,1,0,0,0,--,--,1,72,0,--,--,Brandon Thomas,regular season
Career,19,267,240,5,7,14,3,72,76.6,--,--,4,19,0,4,0,--,--,46,221,15,100,4.46,Brandon Thomas,regular season
2021 - LA,9,156,177,16,7,2,5,174,90.16,1122,963,18,18,0,2,0,6,42.86,146,10,1,50,--,Brandon Van Deusen,regular season
2016 - JAX,9,139,136,7,5,5,5,71,84.52,--,--,3,10,0,2,0,--,--,18,121,41,95.35,6.88,Brawley Adams,regular season
2017 - VAN,13,235,241,5,18,5,14,74,86.05,--,--,8,10,0,4,0,--,--,99,136,1,100,3.73,Brayden Gee,regular season
2016 - VAN,8,172,150,10,22,7,32,52,88.14,--,--,4,6,0,1,0,--,--,75,97,0,--,--,Brayden Gee,regular season
Career,21,407,391,15,40,12,46,126,86.9,--,--,12,16,0,5,0,--,--,174,233,1,100,3.73,Brayden Gee,regular season
2018 - AUS,12,163,148,3,6,8,9,56,88.89,--,--,3,6,0,2,0,--,--,30,133,79,92.94,5.19,Brendan Adams,regular season
2018 - AUS,1,10,6,0,0,0,-1,0,0,--,--,0,1,0,0,0,--,--,1,9,5,100,6.75,Brendan Adams,post-season
2016 - NY,3,30,25,2,0,0,1,41,97.62,--,--,3,1,0,0,0,--,--,26,4,0,--,--,Brendan Awerbuch,regular season
2015 - NY,9,96,99,2,4,2,-2,146,93.59,--,--,10,10,0,0,0,--,--,53,43,1,100,7.14,Brendan Awerbuch,regular season
2014 - NY,11,92,95,11,6,0,7,124,91.85,--,--,8,10,0,0,0,--,--,56,36,0,--,--,Brendan Awerbuch,regular season
2013 - NY,15,255,0,28,8,12,14,384,92.98,--,--,0,29,0,5,0,--,--,185,70,0,--,--,Brendan Awerbuch,regular season
Career,38,473,220,43,18,14,20,695,93.16,--,--,21,50,0,5,0,--,--,320,153,1,100,7.14,Brendan Awerbuch,regular season
2015 - NY,2,52,43,3,1,1,2,42,93.33,--,--,3,3,0,0,0,--,--,43,9,0,--,--,Brendan Awerbuch,post-season
2014 - NY,1,12,15,0,0,0,-1,13,92.86,--,--,0,1,0,0,0,--,--,12,0,0,--,--,Brendan Awerbuch,post-season
2013 - NY,2,34,0,0,2,2,0,40,90.91,--,--,0,4,0,0,0,--,--,28,6,0,--,--,Brendan Awerbuch,post-season
Career,5,98,59,3,3,3,1,95,92.23,--,--,3,8,0,0,0,--,--,83,15,0,--,--,Brendan Awerbuch,post-season
2021 - BOS,9,198,188,10,6,6,13,108,92.31,726,465,8,9,0,0,0,5,55.56,16,182,39,90.7,6.43,Brendan McCann,regular season
2019 - MIN,6,142,125,2,3,4,5,81,93.1,--,--,9,4,0,0,0,--,--,25,117,56,91.8,5.74,Brendan McCann,regular season
2018 - DET,9,198,163,11,9,8,13,140,86.96,--,--,8,15,1,0,0,--,--,80,118,29,100,5.36,Brendan McCann,regular season
2017 - DET,2,36,32,3,1,1,3,19,90.48,--,--,0,2,0,0,0,--,--,6,30,4,100,--,Brendan McCann,regular season
Career,26,574,510,26,19,19,34,348,90.16,726,465,25,30,1,0,0,5,55.56,127,447,128,93.43,5.96,Brendan McCann,regular season
2014 - DET,14,209,197,5,5,5,-23,222,86.05,--,--,13,33,0,5,0,--,--,149,60,8,100,4.56,Brendan Schwalm,regular season
2013 - DET,8,78,0,3,1,0,2,85,100,--,--,0,0,0,2,0,--,--,57,21,1,100,--,Brendan Schwalm,regular season
Career,22,287,197,8,6,5,-21,307,89.5,--,--,13,33,0,7,0,--,--,206,81,9,100,4.56,Brendan Schwalm,regular season
2017 - VAN,7,147,139,15,19,5,30,86,89.58,--,--,3,7,0,2,0,--,--,101,46,0,--,--,Brendan Wong,regular season
2016 - VAN,9,153,138,11,14,9,26,84,90.32,--,--,8,6,0,2,0,--,--,82,71,2,100,6.43,Brendan Wong,regular season
Career,16,300,278,26,33,14,56,170,89.95,--,--,11,13,0,4,0,--,--,183,117,2,100,6.43,Brendan Wong,regular season
2012 - CON,12,196,0,40,13,8,28,185,88.1,--,--,0,25,0,8,0,--,--,106,90,0,--,--,Brent Anderson,regular season
2018 - LA,13,270,248,6,33,6,32,174,94.05,--,--,29,10,0,3,0,--,--,249,21,0,--,--,Brent George,regular season
2017 - LA,14,310,304,18,43,8,48,322,95.27,--,--,27,15,1,6,0,--,--,293,17,0,--,--,Brent George,regular season
2016 - LA,13,264,244,11,34,5,39,207,95.83,--,--,26,7,0,4,0,--,--,228,36,0,--,--,Brent George,regular season
Career,40,844,797,35,110,19,119,703,95.13,--,--,82,32,1,13,0,--,--,770,74,0,--,--,Brent George,regular season
2018 - LA,2,45,41,1,6,0,7,25,100,--,--,2,0,0,0,0,--,--,44,1,0,--,--,Brent George,post-season
2017 - LA,2,51,47,4,8,1,12,46,100,--,--,5,0,0,1,0,--,--,50,1,0,--,--,Brent George,post-season
2016 - LA,1,24,22,2,2,0,4,28,100,--,--,3,0,0,0,0,--,--,24,0,0,--,--,Brent George,post-season
Career,5,120,112,7,16,1,23,99,100,--,--,10,0,0,1,0,--,--,118,2,0,--,--,Brent George,post-season
2019 - CHI,4,26,26,0,0,0,-2,13,92.86,--,--,1,1,0,1,0,--,--,0,26,11,100,5.64,Brenton Hard,regular season
2013 - NY,9,104,0,1,10,9,5,38,79.17,--,--,0,10,0,5,0,--,--,40,64,58,100,--,Brenton Hard,regular season
Career,13,130,26,1,10,9,3,51,82.26,--,--,1,11,0,6,0,--,--,40,90,69,100,5.64,Brenton Hard,regular season
2013 - NY,2,8,0,1,1,1,3,7,100,--,--,0,0,0,0,0,--,--,2,6,5,100,--,Brenton Hard,post-season
2021 - MIN,11,175,206,4,13,5,16,122,94.57,431,904,9,5,0,1,0,2,28.57,32,143,1,100,8.72,Bret Bergmeier,regular season
2021 - MIN,1,16,17,1,0,0,0,6,85.71,30,65,1,1,0,0,0,0,0,3,13,0,--,--,Bret Bergmeier,post-season
2015 - ROC,7,82,77,1,3,3,7,18,90,--,--,1,0,0,0,0,--,--,17,65,0,--,--,Bret Coffey,regular season
2013 - PHI,13,189,0,21,5,13,13,148,86.55,--,--,0,23,0,3,0,--,--,34,155,4,100,--,Breton Dietrich,regular season
2013 - PHI,1,17,0,1,0,0,-2,11,84.62,--,--,0,2,0,1,0,--,--,5,12,0,--,--,Breton Dietrich,post-season
2017 - VAN,2,18,15,2,0,1,0,11,84.62,--,--,0,2,0,1,0,--,--,16,2,0,--,--,Brett Anderson,regular season
2016 - VAN,9,170,149,8,5,4,8,66,89.19,--,--,7,8,0,1,0,--,--,84,86,6,66.67,7.54,Brett Anderson,regular season
2015 - VAN,12,152,106,5,4,5,5,43,84.31,--,--,2,8,0,1,0,--,--,29,123,6,85.71,4.02,Brett Anderson,regular season
Career,23,340,271,15,9,10,13,120,86.96,--,--,9,18,0,3,0,--,--,129,211,12,75,5.34,Brett Anderson,regular season
2015 - JAX,6,103,99,4,3,2,1,96,92.31,--,--,6,7,0,1,0,--,--,36,67,0,--,--,Brett Egger,regular season
2018 - AUS,1,1,0,0,0,0,0,0,0,--,--,0,0,0,0,0,--,--,0,1,0,--,--,Brett Gramann,regular season
2017 - AUS,3,51,50,2,2,2,-1,41,85.42,--,--,4,7,0,0,0,--,--,22,29,3,100,5.62,Brett Gramann,regular season
2016 - AUS,3,52,38,2,0,1,1,49,94.23,--,--,6,2,0,0,0,--,--,8,44,8,100,7.83,Brett Gramann,regular season
Career,7,104,88,4,2,3,0,90,90,--,--,10,9,0,0,0,--,--,30,74,11,100,7.23,Brett Gramann,regular season
2021 - MIN,6,76,79,1,1,4,1,55,93.22,359,52,5,4,0,1,0,2,100,14,62,0,--,--,Brett Hidaka,regular season
2016 - CHI,6,97,109,8,2,7,1,158,87.78,--,--,7,15,1,1,0,--,--,41,56,0,--,--,Brett Hidaka,regular season
Career,12,173,188,9,3,11,2,213,89.12,359,52,12,19,1,2,0,2,100,55,118,0,--,--,Brett Hidaka,regular season
2021 - MIN,1,11,8,0,0,1,0,5,83.33,35,16,1,1,0,0,0,0,0,3,8,0,--,--,Brett Hidaka,post-season
2021 - ATL,10,194,233,5,9,23,31,93,93.94,449,691,11,5,0,1,0,1,100,28,166,53,89.83,6.71,Brett Hulsmeyer,regular season
2019 - ATL,10,179,164,1,8,12,18,38,92.68,--,--,8,3,0,0,0,--,--,49,130,2,100,4.86,Brett Hulsmeyer,regular season
Career,20,373,398,6,17,35,49,131,93.57,449,691,19,8,0,1,0,1,100,77,296,55,90.16,6.63,Brett Hulsmeyer,regular season
2021 - ATL,1,26,32,0,0,0,-1,10,100,51,47,3,0,0,1,0,0,0,8,18,5,100,6.49,Brett Hulsmeyer,post-season
2014 - CHI,9,167,176,12,9,2,8,210,93.75,--,--,8,13,0,2,0,--,--,129,38,2,100,7.21,Brett Kolinek,regular season
2013 - CHI,14,307,0,25,14,4,3,507,92.52,--,--,0,38,3,2,0,--,--,163,144,0,--,--,Brett Kolinek,regular season
Career,23,474,176,37,23,6,11,717,92.88,--,--,8,51,3,4,0,--,--,292,182,2,100,7.21,Brett Kolinek,regular season
2013 - CHI,1,12,0,1,0,0,-3,19,82.61,--,--,0,4,0,0,0,--,--,9,3,0,--,--,Brett Kolinek,post-season
2021 - MIN,9,159,196,8,3,8,13,254,97.32,1463,61,19,6,1,0,0,3,100,25,134,9,100,6.83,Brett Matzuka,regular season
2019 - IND,8,177,202,14,8,2,14,410,96.93,--,--,26,10,0,0,0,--,--,112,65,5,100,6.62,Brett Matzuka,regular season
2018 - RAL,8,190,203,13,7,4,13,365,97.59,--,--,28,9,0,2,0,--,--,142,48,2,66.67,5.53,Brett Matzuka,regular season
2017 - RAL,4,91,79,2,1,1,1,100,97.09,--,--,8,3,0,0,0,--,--,9,82,1,100,4.63,Brett Matzuka,regular season
2016 - DC,8,163,171,10,8,4,11,166,92.22,--,--,14,11,0,0,0,--,--,74,89,3,100,4.61,Brett Matzuka,regular season
2015 - CHI,11,352,371,40,5,18,30,721,94,--,--,47,31,0,2,0,--,--,142,210,90,97.83,4.98,Brett Matzuka,regular season
2014 - DC,9,289,259,36,9,12,23,419,91.48,--,--,33,33,1,1,0,--,--,105,184,52,100,5.78,Brett Matzuka,regular season
Career,57,1421,1484,123,41,49,105,2435,94.89,1463,61,175,103,2,5,0,3,100,609,812,162,98.18,5.38,Brett Matzuka,regular season
2021 - MIN,1,20,20,1,0,2,3,15,100,44,-24,2,0,0,0,0,0,0,3,17,0,--,--,Brett Matzuka,post-season
2019 - IND,2,27,39,1,0,4,3,26,89.66,--,--,2,2,0,0,0,--,--,3,24,0,--,--,Brett Matzuka,post-season
2018 - RAL,2,37,38,1,1,1,1,28,90.32,--,--,1,1,1,1,0,--,--,9,28,0,--,--,Brett Matzuka,post-season
2017 - RAL,1,18,17,1,0,1,1,9,90,--,--,1,1,0,0,0,--,--,1,17,2,100,--,Brett Matzuka,post-season
2016 - DC,2,47,42,1,0,2,-1,36,92.31,--,--,2,2,0,2,0,--,--,12,35,0,--,--,Brett Matzuka,post-season
2014 - DC,1,29,31,1,0,0,-2,41,89.13,--,--,1,3,0,0,0,--,--,16,13,4,100,6.51,Brett Matzuka,post-season
Career,9,178,189,6,1,10,5,155,91.18,44,-24,9,9,1,3,0,0,0,44,134,6,100,6.51,Brett Matzuka,post-season
2017 - SF,11,212,177,8,11,5,20,50,94.34,--,--,4,3,0,1,0,--,--,25,187,0,--,--,Brett Petersen,regular season
2016 - SJ,4,67,60,1,1,3,-4,31,77.5,--,--,7,8,0,1,0,--,--,14,53,5,83.33,--,Brett Petersen,regular season
2015 - SJ,10,140,134,3,8,9,10,41,78.85,--,--,4,10,0,0,0,--,--,12,128,0,--,--,Brett Petersen,regular season
2014 - SJ,9,132,117,2,8,7,15,37,92.5,--,--,8,2,0,0,0,--,--,3,129,0,--,--,Brett Petersen,regular season
Career,34,551,489,14,28,24,41,159,85.95,--,--,23,23,0,2,0,--,--,54,497,5,83.33,--,Brett Petersen,regular season
2017 - SF,1,13,9,0,0,1,1,1,100,--,--,0,0,0,0,0,--,--,0,13,0,--,--,Brett Petersen,post-season
2015 - SJ,3,34,37,1,2,1,2,13,86.67,--,--,2,2,0,0,0,--,--,1,33,0,--,--,Brett Petersen,post-season
2014 - SJ,3,35,37,1,2,2,5,12,100,--,--,4,0,0,0,0,--,--,4,31,0,--,--,Brett Petersen,post-season
Career,7,82,84,2,4,4,8,26,92.86,--,--,6,2,0,0,0,--,--,5,77,0,--,--,Brett Petersen,post-season
2021 - MAD,2,23,27,1,2,2,3,5,83.33,32,70,1,1,0,1,0,0,0,3,20,0,--,--,Brett Robinson,regular season
2019 - MAD,3,36,36,2,4,3,4,5,83.33,--,--,0,1,0,4,0,--,--,0,36,0,--,--,Brett Robinson,regular season
Career,5,59,63,3,6,5,7,10,83.33,32,70,1,2,0,5,0,0,0,3,56,0,--,--,Brett Robinson,regular season
2014 - PHI,11,171,149,0,9,12,15,19,82.61,--,--,1,4,0,2,0,--,--,18,153,3,100,2.14,Brett Sawyer,regular season
2017 - MIN,3,21,14,0,0,1,-1,7,100,--,--,1,0,0,2,0,--,--,1,20,0,--,--,Brett Sullivan,regular season
2016 - MIN,12,250,256,5,7,17,14,231,94.29,--,--,11,12,0,3,0,--,--,99,151,0,--,--,Brett Sullivan,regular season
2015 - MIN,8,118,124,1,5,3,6,45,95.74,--,--,2,1,0,2,0,--,--,38,80,0,--,--,Brett Sullivan,regular season
Career,23,389,394,6,12,21,19,283,94.65,--,--,14,13,0,7,0,--,--,138,251,0,--,--,Brett Sullivan,regular season
2019 - TOR,4,81,83,0,5,6,9,30,93.75,--,--,2,0,0,2,0,--,--,23,58,0,--,--,Bretton Tan,regular season
2018 - TOR,9,151,158,7,11,11,26,52,92.86,--,--,2,3,0,0,0,--,--,31,120,0,--,--,Bretton Tan,regular season
2017 - TOR,12,228,205,4,12,17,25,68,89.47,--,--,10,6,0,2,0,--,--,50,178,1,100,4.08,Bretton Tan,regular season
2016 - TOR,6,97,90,1,10,8,16,31,93.94,--,--,0,2,0,1,0,--,--,20,77,0,--,--,Bretton Tan,regular season
Career,31,557,537,12,38,42,76,181,91.88,--,--,14,11,0,5,0,--,--,124,433,1,100,4.08,Bretton Tan,regular season
2019 - TOR,2,38,44,1,5,4,8,15,88.24,--,--,1,2,0,0,0,--,--,12,26,0,--,--,Bretton Tan,post-season
2018 - TOR,1,15,18,0,1,1,2,5,100,--,--,0,0,0,0,0,--,--,1,14,0,--,--,Bretton Tan,post-season
2017 - TOR,3,71,58,0,6,6,10,24,96,--,--,1,1,0,1,0,--,--,20,51,0,--,--,Bretton Tan,post-season
2016 - TOR,1,13,7,1,0,0,-1,3,75,--,--,0,1,0,1,0,--,--,0,13,0,--,--,Bretton Tan,post-season
Career,7,137,129,2,12,11,19,47,92.16,--,--,2,4,0,2,0,--,--,33,104,0,--,--,Bretton Tan,post-season
2015 - VAN,9,123,106,0,5,2,4,18,85.71,--,--,0,2,0,1,0,--,--,12,111,0,--,--,Brian Baker,regular season
2014 - VAN,9,142,130,5,15,10,18,41,83.67,--,--,4,8,0,4,0,--,--,30,112,3,100,2.43,Brian Baker,regular season
Career,18,265,236,5,20,12,22,59,84.29,--,--,4,10,0,5,0,--,--,42,223,3,100,2.43,Brian Baker,regular season
2017 - RAL,9,142,142,14,9,1,10,174,91.58,--,--,5,13,0,1,0,--,--,129,13,0,--,--,Brian Casey,regular season
2016 - RAL,13,286,266,36,16,11,38,367,92.21,--,--,29,23,0,2,0,--,--,259,27,2,100,--,Brian Casey,regular season
2015 - RAL,11,249,229,34,15,2,35,327,94.51,--,--,24,14,0,2,0,--,--,213,36,0,--,--,Brian Casey,regular season
Career,33,677,638,84,40,14,83,868,92.93,--,--,58,50,0,5,0,--,--,601,76,2,100,--,Brian Casey,regular season
2017 - RAL,1,17,15,2,1,1,1,17,89.47,--,--,2,2,0,1,0,--,--,14,3,0,--,--,Brian Casey,post-season
2016 - RAL,1,24,22,5,2,0,6,53,98.15,--,--,2,1,0,0,0,--,--,23,1,0,--,--,Brian Casey,post-season
2015 - RAL,2,56,51,4,2,0,0,72,90,--,--,9,6,0,0,0,--,--,47,9,0,--,--,Brian Casey,post-season
Career,4,97,90,11,5,1,7,142,92.81,--,--,13,9,0,1,0,--,--,84,13,0,--,--,Brian Casey,post-season
2016 - RAL,10,130,125,3,7,11,17,32,91.43,--,--,2,2,0,2,0,--,--,8,122,0,--,--,Brian Clark,regular season
2015 - RAL,5,48,31,3,1,6,9,10,90.91,--,--,3,1,0,0,0,--,--,5,43,0,--,--,Brian Clark,regular season
Career,15,178,157,6,8,17,26,42,91.3,--,--,5,3,0,2,0,--,--,13,165,0,--,--,Brian Clark,regular season
2016 - RAL,1,11,10,0,0,1,1,1,100,--,--,0,0,0,0,0,--,--,0,11,0,--,--,Brian Clark,post-season
2021 - AUS,7,77,82,1,4,3,6,19,90.48,86,206,2,2,0,0,0,0,0,4,73,0,--,--,Brian Gfroerer,regular season
2019 - AUS,11,162,164,1,5,7,4,42,82.35,--,--,3,7,0,2,0,--,--,41,121,2,100,4.14,Brian Gfroerer,regular season
2018 - AUS,3,24,21,0,0,2,2,7,100,--,--,0,0,0,0,0,--,--,9,15,0,--,--,Brian Gfroerer,regular season
Career,21,263,268,2,9,12,12,68,86.08,86,206,5,9,0,2,0,0,0,54,209,2,100,4.14,Brian Gfroerer,regular season
