pull_type,time,pull_x,pull_y,thrower_id
PULL_INBOUNDS,9861.0,26.01,46.09,abarden
PULL_INBOUNDS,4041.0,12.75,83.88,rbowman
PULL_INBOUNDS,7266.0,-13.92,99.46,abarden
PULL_INBOUNDS,8857.0,-16.84,105.0,mbennett1
PULL_INBOUNDS,4196.0,-23.76,97.42,abarden
PULL_INBOUNDS,5797.0,21.27,99.17,broach
PULL_INBOUNDS,3266.0,-7.22,96.11,abarden
PULL_INBOUNDS,6642.0,-1.32,100.41,mbennett1
PULL_INBOUNDS,6114.0,-18.66,94.36,abarden
PULL_INBOUNDS,12081.0,-25.21,56.94,mbennett1
PULL_INBOUNDS,4214.0,-2.7,91.82,broach
PULL_INBOUNDS,8612.0,-9.7,94.36,mbennett1
PULL_INBOUNDS,7418.0,22.87,81.4,abarden
PULL_INBOUNDS,8135.0,-10.79,100.0,mbennett1
PULL_OUT_OF_BOUNDS,,0.0,68.37,hstone
PULL_INBOUNDS,7133.0,20.1,100.7,abarden
PULL_INBOUNDS,6758.0,-1.32,98.81,broach
PULL_INBOUNDS,6213.0,1.31,97.71,mbennett1
PULL_INBOUNDS,7559.0,-6.34,99.1,abarden
PULL_INBOUNDS,3015.0,7.35,100.7,
PULL_INBOUNDS,6185.0,0.27,85.29,nsaul
PULL_INBOUNDS,9695.0,6.88,79.63,jkurmanfa
PULL_INBOUNDS,7233.0,-4.37,98.86,elheureux
PULL_INBOUNDS,16712.0,19.71,52.7,jkurmanfa
PULL_INBOUNDS,10131.0,-25.92,65.79,nsaul
PULL_INBOUNDS,6294.0,15.48,81.88,mrick
PULL_INBOUNDS,6135.0,2.45,96.4,crussell
PULL_INBOUNDS,10883.0,26.53,80.65,jkurmanfa
PULL_INBOUNDS,7927.0,-0.89,103.36,elheureux
PULL_INBOUNDS,5916.0,3.34,107.45,jhartzog
PULL_INBOUNDS,6763.0,-19.99,91.29,tmcallist
PULL_INBOUNDS,12818.0,-25.79,56.65,mrick
PULL_INBOUNDS,6773.0,-2.32,95.04,crussell
PULL_INBOUNDS,6795.0,-13.99,99.47,nsaul
PULL_INBOUNDS,9369.0,11.86,104.65,jkurmanfa
PULL_INBOUNDS,6041.0,15.41,96.06,crussell
PULL_OUT_OF_BOUNDS,,0.0,80.0,itran
PULL_INBOUNDS,6428.0,2.11,96.34,nsaul
PULL_INBOUNDS,6485.0,-12.9,100.77,itran
PULL_INBOUNDS,7711.0,-10.37,96.47,crussell
PULL_INBOUNDS,6772.0,5.93,100.29,jkurmanfa
PULL_INBOUNDS,4796.0,-18.28,85.7,tmcallist
PULL_INBOUNDS,5169.0,4.29,100.15,crussell
